province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Kansas,US,2020-08-04,37.19141121,-101.7992519,POINT(-101.7992519 37.19141121),1,0,0,0,20129,Morton,"Morton, Kansas, US"
Kansas,US,2020-08-04,37.55862897,-95.30670046,POINT(-95.30670046 37.55862897),1,0,0,0,20133,Neosho,"Neosho, Kansas, US"
Kansas,US,2020-08-04,38.65235984,-95.72707998,POINT(-95.72707998 38.65235984),3,0,0,0,20139,Osage,"Osage, Kansas, US"
Kansas,US,2020-08-04,39.3503437,-98.76753828,POINT(-98.76753828 39.3503437),2,0,0,0,20141,Osborne,"Osborne, Kansas, US"
Kansas,US,2020-08-04,39.13237408,-97.65020313,POINT(-97.65020313 39.13237408),3,0,0,0,20143,Ottawa,"Ottawa, Kansas, US"
Kansas,US,2020-08-04,39.37925655,-96.34564657,POINT(-96.34564657 39.37925655),5,0,0,0,20149,Pottawatomie,"Pottawatomie, Kansas, US"
Kansas,US,2020-08-04,37.64780729,-98.73922153,POINT(-98.73922153 37.64780729),1,0,0,0,20151,Pratt,"Pratt, Kansas, US"
Kansas,US,2020-08-04,37.95230263,-98.08607292,POINT(-98.08607292 37.95230263),10,0,0,0,20155,Reno,"Reno, Kansas, US"
Kansas,US,2020-08-04,39.82799632,-97.65036709,POINT(-97.65036709 39.82799632),3,0,0,0,20157,Republic,"Republic, Kansas, US"
Kansas,US,2020-08-04,39.28935726,-96.73420026,POINT(-96.73420026 39.28935726),19,0,0,0,20161,Riley,"Riley, Kansas, US"
Nevada,US,2020-08-04,38.04264256,-116.4722702,POINT(-116.4722702 38.04264256),7,0,0,0,32023,Nye,"Nye, Nevada, US"
Oregon,US,2020-08-04,45.41846568,-119.584546,POINT(-119.584546 45.41846568),2,0,0,0,41049,Morrow,"Morrow, Oregon, US"
Alabama,US,2020-08-04,34.45500589,-86.85475946,POINT(-86.85475946 34.45500589),31,0,0,0,1103,Morgan,"Morgan, Alabama, US"
Alabama,US,2020-08-04,32.64048341,-87.29770589,POINT(-87.29770589 32.64048341),0,0,0,0,1105,Perry,"Perry, Alabama, US"
Alabama,US,2020-08-04,33.28094866,-88.08818103,POINT(-88.08818103 33.28094866),15,0,0,0,1107,Pickens,"Pickens, Alabama, US"
Alabama,US,2020-08-04,31.80396383,-85.9408295,POINT(-85.9408295 31.80396383),16,0,0,0,1109,Pike,"Pike, Alabama, US"
Arizona,US,2020-08-04,35.70471703,-113.7577902,POINT(-113.7577902 35.70471703),23,0,0,0,4015,Mohave,"Mohave, Arizona, US"
Arizona,US,2020-08-04,32.90525627,-111.3449483,POINT(-111.3449483 32.90525627),124,0,0,0,4021,Pinal,"Pinal, Arizona, US"
Florida,US,2020-08-04,30.61037141,-81.80297522,POINT(-81.80297522 30.61037141),29,0,0,0,12089,Nassau,"Nassau, Florida, US"
Florida,US,2020-08-04,27.3863362,-80.88944347,POINT(-80.88944347 27.3863362),4,0,0,0,12093,Okeechobee,"Okeechobee, Florida, US"
Georgia,US,2020-08-04,,,,3,0,0,0,,McIntosh,"McIntosh,Georgia,US"
Georgia,US,2020-08-04,33.04163534,-84.68859732,POINT(-84.68859732 33.04163534),18,0,0,0,13199,Meriwether,"Meriwether, Georgia, US"
Georgia,US,2020-08-04,31.16568912,-84.73151117,POINT(-84.73151117 31.16568912),12,0,0,0,13201,Miller,"Miller, Georgia, US"
Georgia,US,2020-08-04,33.59232073,-83.49129491,POINT(-83.49129491 33.59232073),12,0,0,0,13211,Morgan,"Morgan, Georgia, US"
Georgia,US,2020-08-04,34.78897608,-84.74993177,POINT(-84.74993177 34.78897608),11,0,0,0,13213,Murray,"Murray, Georgia, US"
Georgia,US,2020-08-04,33.09310242,-84.38790389,POINT(-84.38790389 33.09310242),10,0,0,0,13231,Pike,"Pike, Georgia, US"
Georgia,US,2020-08-04,34.00267074,-85.18677781,POINT(-85.18677781 34.00267074),22,0,0,0,13233,Polk,"Polk, Georgia, US"
Georgia,US,2020-08-04,32.23334561,-83.4754996,POINT(-83.4754996 32.23334561),8,0,0,0,13235,Pulaski,"Pulaski, Georgia, US"
Georgia,US,2020-08-04,33.32056115,-83.37552891,POINT(-83.37552891 33.32056115),5,0,0,0,13237,Putnam,"Putnam, Georgia, US"
Georgia,US,2020-08-04,31.86728114,-85.01773177,POINT(-85.01773177 31.86728114),4,0,0,0,13239,Quitman,"Quitman, Georgia, US"
